id_agree,rta_deep_std1,rta_deep_std2,rta_deep_std3,rta_deep_std4,rta_deep_std5,rta_deep_std6,rta_deep_std7,rta_deep_std8,rta_deep_std9,rta_deep_std10,rta_deep_std11,rta_deep_std12,rta_deep_std13,rta_deep_std14,rta_deep_std15,rta_deep_std16,rta_deep_std17,rta_deep_std18
1,16.173912,2.9398413,15.186835,3.4654057,2.9446013,0,0,4.4549341,3.1815069,5.4705882,0,0,2.6813302,2.3128831,3.7024968,0,3.5616059,6.8406386
2,27.424202,2.2619839,7.6188946,2.2106307,2.2778151,4.9533916,5.3332934,3.7199996,2.9338768,4.6197572,2.0648069,1.4740449,2.3203928,2.7792094,3.01757,2.1831319,2.1168377,7.8582296
3,2.5278466,1.7490948,8.4754591,2.8656344,3.4998906,0,4.0507159,3.1260505,0,0,2.1315539,5.0657196,2.8590088,1.9149081,2.5543292,2.0997179,0,0
4,5.09589,2.3868945,5.1587114,0,0,0,0,4.6002088,2.9564519,5.4705882,2.2008345,2.2897618,2.727406,0,0,0,1.7152233,0
5,16.173912,2.9398413,15.186835,4.1454716,0,0,0,4.6833448,5.026907,5.4705882,0,0,2.982173,2.4086039,2.9731426,5.4216185,3.5616059,6.8406386
6,2.0084174,2.0177104,2.8679054,1.1552795,2.4460754,0,0,3.7199996,0,5.4705882,2.2115059,1.1698112,0,1.6254425,2.473238,0,1.7339768,0
7,2.0084174,1.6905127,2.8615384,1.1552795,2.7100022,0,0,3.7199996,0,5.4705882,2.2008345,1.1698112,0,1.6254425,2.7191682,0,1.7339768,0
8,2.5929382,1.8661681,2.8615384,1.1552795,2.6329916,0,0,3.7199996,0,5.4705882,2.0397613,1.1698112,0,1.6426386,2.473238,0,1.7339768,0
9,5.40628,2.9417799,9.1107759,1.1552795,4.9308977,41.33334,0,0,3.8331852,0,2.7352941,2.8387849,2.4028955,2.5960569,2.74859,2.7887087,2.5006113,6.4470224
10,1.3179066,1.446813,1.6942763,1.3244389,0,0,0,3.1260505,0,0,2.604285,1.7832354,2.4242864,0,2.4625413,1.6497107,2.3053017,0
11,3.0204003,1.6301703,3.6614137,3.4081144,0,0,0,0,0,0,9.6242666,0,0,0,1.2396983,3.1000001,0,0
12,5.09589,1.4744251,2.8615384,1.6988981,0,0,0,0,0,0,2.0894265,1.1698112,0,0,2.0769165,0,1.7339768,0
13,16.173912,2.9398413,15.186835,0,3.8590479,0,0,4.6833448,5.026907,5.4705882,0,0,2.982173,2.0152221,3.3719735,5.4216185,3.5616059,6.8406386
14,4.7738838,1.4744251,3.6614137,1.1552795,0,0,0,0,0,0,4.2341132,1.1698112,0,0,1.2380574,0,0,0
15,5.09589,1.718341,2.8615384,2.018589,0,0,0,0,0,0,2.0382628,0,0,0,2.0423667,3.1589177,3.4444444,0
16,16.173912,1.374843,4.6140919,3.0821757,2.5210059,0,4.3955221,0,0,7.9509697,2.0276856,1.1698112,2.6474793,2.3540111,1.9972013,1.3429602,1.6244541,0
17,2.5182161,1.6165264,1.6942763,1.3244389,2.4304702,0,0,0,0,4.6197968,2.9481001,2.4318635,0,0,2.7235484,1.3675501,0,0
18,16.173912,2.9398413,15.186835,0,3.8590479,0,0,4.6833448,5.026907,5.4705882,0,0,2.982173,3.1138759,3.0955322,5.4216185,3.5616059,6.8406386
19,5.09589,1.5024738,2.8615384,0,0,0,0,3.1260505,0,0,2.4860842,0,0,0,0,0,0,0
20,11.87808,2.8233194,9.1107759,1.6518466,0,0,0,0,0,0,2.4343669,5.6106501,2.2623463,1.656675,1.4240214,0,3.1975648,0
21,4.322557,3.2139106,1.5925965,1.4615719,2.0456188,7.7647047,4.3121195,0,2.9223683,0,2.1821752,4.2015877,2.2965052,2.4308195,2.2840407,2.0701766,1.5494668,9.5130796
